Date,Number of flights, ,,,,,,,,,,
04/09/2020,3053,,,,,,,,,,,
05/09/2020,2608,,,,,,,,,,,
06/09/2020,2827,,,,,,,,,,,
07/09/2020,2758,,,,,,,,,,,
08/09/2020,2444,,,,,,,,,,,
09/09/2020,2508,,,,,,,,,,,
10/09/2020,2653,,,,,,,,,,,
11/09/2020,3112,,,,,,,,,,,
12/09/2020,2513,,,,,,,,,,,
13/09/2020,2778,,,,,,,,,,,
14/09/2020,2754,,,,,,,,,,,
15/09/2020,2437,,,,,,,,,,,
16/09/2020,2481,,,,,,,,,,,
17/09/2020,2689,,,,,,,,,,,
18/09/2020,3068,,,,,,,,,,,
19/09/2020,2454,,,,,,,,,,,
20/09/2020,2771,,,,,,,,,,,
21/09/2020,2716,,,,,,,,,,,
22/09/2020,2373,,,,,,,,,,,
23/09/2020,2409,,,,,,,,,,,
24/09/2020,2595,,,,,,,,,,,
25/09/2020,2979,,,,,,,,,,,
26/09/2020,2433,,,,,,,,,,,
27/09/2020,2693,,,,,,,,,,,
28/09/2020,2688,,,,,,,,,,,
29/09/2020,2330,,,,,,,,,,,
30/09/2020,2308,,,,,,,,,,,
01/10/2020,2357,,,,,,,,,,,
02/10/2020,2787,,,,,,,,,,,
03/10/2020,2255,,,,,,,,,,,
04/10/2020,2430,,,,,,,,,,,
05/10/2020,2459,,,,,,,,,,,
06/10/2020,2096,,,,,,,,,,,
07/10/2020,2137,,,,,,,,,,,
08/10/2020,2308,,,,,,,,,,,
09/10/2020,2689,,,,,,,,,,,
10/10/2020,2127,,,,,,,,,,,
11/10/2020,2315,,,,,,,,,,,
12/10/2020,2284,,,,,,,,,,,
13/10/2020,1902,,,,,,,,,,,
14/10/2020,1984,,,,,,,,,,,
15/10/2020,2144,,,,,,,,,,,
16/10/2020,2663,,,,,,,,,,,
17/10/2020,2166,,,,,,,,,,,
18/10/2020,2231,,,,,,,,,,,
19/10/2020,2109,,,,,,,,,,,
20/10/2020,1767,,,,,,,,,,,
21/10/2020,1834,,,,,,,,,,,
22/10/2020,2022,,,,,,,,,,,
23/10/2020,2408,,,,,,,,,,,
24/10/2020,2028,,,,,,,,,,,
25/10/2020,2238,,,,,,,,,,,
